# DSSD   BUSS   ENTRADA_DIGITAL   CANAL_FISICO   Slope_a       Intercept_b
       5       5                 0              0      6.19272982   -555.34037432
       5       5                 1              1      6.16801348   -517.92143823
       5       5                 2              2      6.22711484   -673.57639210
       5       5                 3              3      6.15994930   -419.56484586
       5       5                 4              4      6.17026809   -546.34381063
       5       5                 5              5      6.14018615   -508.95530456
       5       5                 6              6      6.23593041   -692.65127522
       5       5                 7              7      6.12601535   -436.60684426
       5       5                 8              8      6.12803834   -578.83327636
       5       5                 9              9      6.09739591   -483.73315642
       5       5                10             10      6.22063414   -657.22196117
       5       5                11             11      6.12518601   -431.94475645
       5       5                12             12      6.09705321   -545.60042440
       5       5                13             13      6.14648902   -476.83965360
       5       5                14             14      6.22899530   -631.51665726
       5       5                15             15      6.07619392   -361.42726379
       5       5                32             16      6.13383644   -603.13791649
       5       5                33             17      6.05664856   -516.40371805
       5       5                34             18      6.12470940   -732.43724328
       5       5                35             19      6.00464367   -594.03274291
       5       5                36             20      6.06325554   -596.04124657
       5       5                37             21      6.12571519   -569.88050050
       5       5                38             22      6.06281220   -741.51405916
       5       5                39             23      6.08086981   -584.54635301
       5       5                40             24      6.05425458   -570.54355372
       5       5                41             25      6.05041303   -607.57983919
       5       5                42             26      6.06784868   -747.94604370
       5       5                43             27      6.02816060   -582.39769677
       5       5                44             28      6.02250665   -549.80357058
       5       5                45             29      6.05758676   -523.96995425
       5       5                46             30      5.95635210   -707.39526904
       5       5                47             31      6.01505396   -550.63305232
       1       0                 0              0      0.00000000      0.00000000
       1       0                 1              1      0.00000000      0.00000000
       1       0                 2              2      0.00000000      0.00000000
       1       0                 3              3      0.00000000      0.00000000
       1       0                 4              4      0.00000000      0.00000000
       1       0                 5              5      0.00000000      0.00000000
       1       0                 6              6      0.00000000      0.00000000
       1       0                 7              7      0.00000000      0.00000000
       1       0                 8              8      0.00000000      0.00000000
       1       0                 9              9      0.00000000      0.00000000
       1       0                10             10      0.00000000      0.00000000
       1       0                11             11      0.00000000      0.00000000
       1       0                12             12      0.00000000      0.00000000
       1       0                13             13      0.00000000      0.00000000
       1       0                14             14      0.00000000      0.00000000
       1       0                15             15      0.00000000      0.00000000
       1       0                32             16      0.00000000      0.00000000
       1       0                33             17      0.00000000      0.00000000
       1       0                34             18      0.00000000      0.00000000
       1       0                35             19      0.00000000      0.00000000
       1       0                36             20      0.00000000      0.00000000
       1       0                37             21      0.00000000      0.00000000
       1       0                38             22      0.00000000      0.00000000
       1       0                39             23      0.00000000      0.00000000
       1       0                40             24      0.00000000      0.00000000
       1       0                41             25      0.00000000      0.00000000
       1       0                42             26      0.00000000      0.00000000
       1       0                43             27      0.00000000      0.00000000
       1       0                44             28      0.00000000      0.00000000
       1       0                45             29      0.00000000      0.00000000
       1       0                46             30      0.00000000      0.00000000
       1       0                47             31      0.00000000      0.00000000
