# DSSD   BUSS   ENTRADA_DIGITAL   CANAL_FISICO   Slope_a       Intercept_b
       5       5                 0              0      6.17014783   -539.60641066
       5       5                 1              1      6.15160993   -507.49329805
       5       5                 2              2      6.20905850   -661.59954339
       5       5                 3              3      6.14620536   -412.28515040
       5       5                 4              4      6.15953242   -542.44078919
       5       5                 5              5      6.12642033   -500.54641235
       5       5                 6              6      6.22165090   -683.83203219
       5       5                 7              7      6.11164568   -428.09171826
       5       5                 8              8      6.10998932   -566.60373659
       5       5                 9              9      6.08219751   -474.58084966
       5       5                10             10      6.20677659   -648.90189383
       5       5                11             11      6.10496304   -418.28299682
       5       5                12             12      6.08210900   -536.42146730
       5       5                13             13      6.12827565   -464.94680540
       5       5                14             14      6.21065749   -619.35928518
       5       5                15             15      6.06086214   -351.92638376
       5       5                32             16      6.11457989   -589.55220123
       5       5                33             17      6.04467760   -509.02510587
       5       5                34             18      6.10650043   -718.82413948
       5       5                35             19      5.98729861   -581.57885086
       5       5                36             20      6.04357768   -581.84564826
       5       5                37             21      6.10999737   -559.33244601
       5       5                38             22      6.04598069   -730.43460558
       5       5                39             23      6.06429646   -573.72167352
       5       5                40             24      6.04348281   -564.60305622
       5       5                41             25      6.03440159   -596.36595225
       5       5                42             26      6.05158354   -736.34466368
       5       5                43             27      6.01517356   -574.60295612
       5       5                44             28      6.00604981   -538.93616879
       5       5                45             29      6.04290177   -514.43427695
       5       5                46             30      5.93997469   -696.35132358
       5       5                47             31      5.99930550   -540.21627321
